Date,Close,eps_q,book_value,de_ratio,npm,gold,crudeoil,sp500,ndx,fed,rsi,MACD
2013-01-02,22.55471420288086,0.02039484942536959,882.8752969725753,0.02802962008825104,0.00775291867110113,163.1699981689453,93.12000274658203,1462.4200439453125,2746.469970703125,0.17,0.0,0.0
2013-01-03,22.07491683959961,0.020838130596026447,902.0645533884231,0.028638842669239113,0.007921428023283848,161.1999969482422,92.91999816894531,1459.3699951171875,2732.260009765625,0.17,0.0,-0.010764684432590599
2013-01-04,22.213804244995117,0.02070784431728484,896.4245736741153,0.028459783985368838,0.007871900865618855,160.44000244140625,93.08999633789062,1466.469970703125,2724.489990234375,0.16,22.448816008928105,-0.009409454484544
2013-01-07,22.52104377746582,0.020425341051921772,884.1952529715614,0.028071526193577192,0.007764509788832777,159.42999267578125,93.19000244140625,1461.8900146484375,2724.219970703125,0.16,48.1817938370711,0.0025302988018296446
2013-01-08,22.171716690063477,0.020747153070296745,898.1262154104762,0.028513807890624836,0.007886843734713274,160.55999755859375,93.1500015258789,1457.1500244140625,2718.719970703125,0.15,34.983450468816145,-0.004935615769916524
2013-01-09,22.205387115478516,0.02071569379123104,896.7643705756167,0.028470571894022426,0.00787488477257725,160.49000549316406,93.0999984741211,1461.02001953125,2727.64990234375,0.14,36.65592231425191,-0.007891102652230586
2013-01-10,22.306396484375,0.02062188755239857,892.7035800672015,0.028341649479272396,0.007839225174149162,161.97999572753906,93.81999969482422,1472.1199951171875,2744.179931640625,0.14,41.19397735420246,-0.005074669060650905
2013-01-11,22.601009368896484,0.020353073284994614,881.0668441828211,0.027972205134159375,0.007737037846881031,161.05999755859375,93.55999755859375,1472.050048828125,2748.260009765625,0.14,51.35799264159557,0.010907162449434793
2013-01-14,22.38215446472168,0.02055208763414814,889.6820023017215,0.02824572010269574,0.007812691362687335,161.5399932861328,94.13999938964844,1470.6800537109375,2735.699951171875,0.14,45.514198023631145,0.010950134686211754
2013-01-15,22.100168228149414,0.02081432119661827,901.0338651918687,0.028606120269283056,0.007912377094131623,162.55999755859375,93.27999877929688,1472.3399658203125,2722.97998046875,0.15,39.69463536220754,-0.003703620067618374
2013-01-16,22.264310836791992,0.026050660370836372,937.1500493750017,0.03489221794879123,0.0084421624141904,162.64999389648438,94.23999786376953,1472.6300048828125,2734.72998046875,0.14,43.872125829600385,-0.005495924280783271
2013-01-17,22.7988224029541,0.025439910436990284,915.1788470134522,0.03407418034434629,0.008244238443642733,163.35000610351562,95.48999786376953,1480.93994140625,2747.14990234375,0.14,54.202907879068896,0.022626052888337966
2013-01-18,22.815656661987305,0.02542113990373663,914.5035932611463,0.034049039118443446,0.008238155531038117,163.08999633789062,95.55999755859375,1485.97998046875,2743.239990234375,0.14,54.46685634320439,0.044132865453541115
2013-01-22,22.462120056152344,0.02582124922091398,928.8971810247762,0.03458494497647394,0.008367817804122888,163.6699981689453,96.23999786376953,1492.56005859375,2746.18994140625,0.14,48.58609429300054,0.03916817938666739
2013-01-23,22.46632957458496,0.025816411090849707,928.7231334665158,0.03457846479185428,0.008366249925259084,163.2100067138672,95.2300033569336,1494.81005859375,2762.169921875,0.13,48.652106151403686,0.035174110871409425
